UserID,User,Comment Tokenize,Label
1,Cang Pham,god,Neutral
5,Yumi Fruit Trái Cây Sạch & Đồ Ăn Vặt,trái_cây tươi ngon ủng_hộ tiếp,Positive
6,Tri Nguyen,ngon,Positive
7,Ânn Đoànn,ép thiết_kế xinh ghê_á sống ảo xinh lắm ko gian chi_nhánh xịn ấm_cúng bánh hướng_dương ngon nha hơi kiếm xíu,Positive
8,Mai Phuong Vy,không_gian quán yên_tĩnh tiếng nhạc du_dương thích_hợp họp_mặt tuần bánh cokie ngon trái_cây tươi chương_trình mua 2 tặng 1 take care khách_hàng tổ must try nha,Positive
9,Mẫn,món ngon giá_cả không_gian thoải_mái mái nhiệt_tình,Positive
10,Tien99duong,hôm noel sinh_tố đàn chi_nhánh đập mắt view quán xinh đập nhiệt_tình quán phòng xay sinh_tố không_gian kín không ồn tiếng xay sinh_tố lắm hôm chương_trình khuyến_mãi mua 2 tặng 1 mua 2 lý bánh kèm ok bánh ngon không kém trải nghiệm nha view không xinh soang choảnh hehe,Negative
11,Nhuly,lượn_lờ phố đêm vô_tình quán tao đàn uống thử ko ngờ hợp vị ủng_hộ tiếp thương_hiệu uống hoàng sa tiện_lợi,Positive
12,Phanquangloc,3 quán chương_trình mua 2 tặng 1 ép fresh ngon quán kèm 1 ly đường dạng pha uống pha bánh vote bánh cokie hạnh_nhân bánh có_nhân chanh dây ngon thử nhâm_nhi vs ép hợp thử review,Positive
13,Koka_Kola11111,quán sạch_sẽ sáng_sủa đồ uống đa_dạng bánh ngon chạy chương_trình mua 2 tặng 1 quán order 2 tặng 1 bánh sừng trâu trứng muối ổn,Positive
14,Locy,đầu uống quán cảm_nhận ban_đầu_nước uống hợp vị cafe sữa ko đậm cafe giá_cả mua 2 tặng 1 lai ủng_hộ quán lâu_dài like it,Positive
15,Triều Minh,tocotoco nhiệt_tình thân_thiện không đòi_hỏi đồ uống quán 1 trà sữa hoàng_kim okinawa 1 trà sữa ô lông 1 kem sữ chua dừa đề_nghị xem_xét thái_độ coi_thường khách_hàng bảo_vệ làm_việc 25 09 202 17h chủ quán check camera thái_độ bảo_vệ khách_hàng,Negative
16,Vũ Phạm,hai hai ly trà sữa panda hai ly trân_châu vón cục hút dễ_dàng trẻ 2 lịch_sự nói_chuyện to văng_tục chửi thề nhắc_nhở hành_động văn_minh công_cộng không hành_động ngăn_chặn xử_lí tình_huống khách_hàng không không mong quản_lí rút kinh_nghiệm hành_động thích_hợp giúp hành không_gian quán văn_minh,Negative
17,Thịnh Huỳnh Khắc,hôm ghé tocotoco quán 2 món chanh_leo trân_châu sương mai hồng trà bưởi mật_ong giảm_giá 30 món giá 35 ngàn size l 29 ngàn size m chanh_leo trân_châu sương mai hồng trà kem phô_mai thử món xong thích kem phô_mai món cũ hoàng_gia kem phô_mai ngon hồng trà uống kem phô_mai uống chanh_leo trân_châu sương mai hột vị sữa_chua chanh_dây không hột ngon không hột không món nhjanh phục_vụ tận_tình chương_trình khuyền mãi kéo_dài đầu 1,Neutral
18,Linda Huynh,cử trà chiều vp cty uống trà trái_cây ngon giá mềm vs ly to_đùng uống no bụng,Positive
19,Nguyễn Thuý Bắc,1 ly trà dâu_tằm phô_mai 50 đường trân_châu q trân_châu baby kem phô_mai béo ngậy ngon trân_châu chi_nhánh lắm sướng mồm 50 đường uống không ok,Neutral
21,J J,sữa_tươi khoai_môn hoàng_kim uống sữa_tươi trân_châu đường đen_vậy không khoai_môn hình uống khoai_môn bùi bùi chút_ít đáy ly trân_châu đường đen ngon dai dai dẻo dẻo món uống ok không lắm,Negative
22,Hong Lam,mua ly hình mạng dè không chấp_nhận đc sữa_tươi tc đường hổ uống không nuốt đc,Negative
23,Mio Phan,bửa thèm trà sữa thèm trà việt_quốc toco quyết_định mua bửa 30 đường hơi dạng order không đường ad trân_châu sợi ly 2 team trà việt quốc 1 trà sữa trân_châu hoàng_kim giảm_giá mã 3 ly 5k thui nè 3 0 đường hợp_lý mứt sẵn 0 đường độ mứt việt quốc trân_châu nhen ️ ️ thích_vậy không say đường k trân_châu dẻo dai uống ok nè 3 tầm giá ok nè 3 thích trà trái_cây trà sữa nhen,Neutral
24,Tye Tye,trà sữa toco toco 3 góc đường quán trà sữa nhỏ_nhắn lầu quán view cửa_sổ đường_phố ngắm mưa rơi quán gương thần_thánh lối cầu_thang tranh_thủ pose dáng kiểu gương đợi không món quen_thuộc hồng trà kem phô_mai đường đá bình_thường giá ly 450 vệ_sinh sạch chỗ xe,Negative
25,Cuong,ún ly n dở ly tào_lao mía lao ly không chẳng ún rõ_ràng ghi_chú lm sai,Negative
26,Tuyet Pham,uống chỗ ok mùi_vị đậm_đà giao hàng now 2 đơn 14 ly thất_vọng giao hàng đc 50 thức uống tệ lạt_lẽo k cần_thiết đc giảm_giá cảm_giác hàng giảm_giá chất_lượng đừng giảm_giá,Negative
27,Thỏ 🐰,️ trà xanh 50 đường hơi nhạt nhạt híc trà sữa uống kêu ngon,Negative
28,Mai Catery,đầu uống trà xanh xoài mê_mệt trà thơm uống kèm xoài mứt xoài chua chua_ngọt trân_châu dẻo thơm ngon,Positive
29,Minh Chau,bữa toàn uống đường đá bình_thường trà sữa toco uống 50 đường,Neutral
30,Thanh Vy,trân_châu sợi thạch vô ko uống toco chủ_yếu trân_châu sợi hoài bực ghê,Negative
31,Phạm Pôn,pha ngon thân_thiện,Positive
32,Nữ Trúc Nguyễn,chờ 1 ly thèm thèm,Negative
33,Vy Taem CT,oder 2 ly uống quán chờ hoài không 15 vẩn chờ chờ chúc bực không chuyên_nghiệp dở dở giá trời koi gongcha chuyên_nghiệp tệ,Negative
34,Bằng,kem phô_mai,Neutral
35,Hoàng Châu Lê,2 ly trà sữa panda ly 1 nửa trà sữa nắp đậy không đóng nắp nhựa uống tocotoco 34 chi_nhánh không chi_nhánh làm_việc cẩu_thả giao hàng nhanh_chóng tầm chiều trời mưa 10 hài_lòng khuyên chi_nhánh làm_ăn trách_nhiệm chi_nhánh,Neutral
36,Tran Nguyen,chi_nhánh ruột uống 1 đẹp trời tocotoco làm_ăn kiểu 1 ly tsua không đá ly tsua mực cớ nước_lọc ly uống không đường trà sữa chia_tay tocotoco uống xong ly ám_ảnh,Negative
37,Ngọc Ánh,hôm khuyến_mãi ord uống thích lớp kem chese k ảnh_hưởng độ ngon vị k dc haha trà sữa socola 30 50 80 k uống chese huhu,Positive
38,HuynhNhy,chia nhánh trà pha_chế ngon trà sữa giao hàng oder 2 ly,Positive
39,Thanh Thùy,thèm đá xay kem tươi order 3 caramel 1 trà xanh xay hình hấp_dẫn kem giao 4 ly ko kem j hình điện quán ban_đầu bảo kem kem ko báo nvien tl quy_định tocotoco fody giao hàng ko kem làm_ăn ngộ_vậy ko s k note fody ko bao g thất_vọng,Neutral
40,Jes Luth,bình thừơng uống chi_nhánh kem chese note khắp dùm bực_bội sợ kem loãng chi_nhánh kêu ly double ly kia thất_vọng toàn_tập,Negative
41,Mina,đầu order toco toco ngô thời nhiệm uống nè menu quán he thích béo trân_châu tạm ổn trân_châu dai béo bánh lọt chè lớp kem tạm đc uốg 23 ly tsua mên vị_giác hơi đơ k cảm_nhận đc uốg ly 2 đứa uống 3 xong ngưng bữa uống,Positive
42,Nguyễn Phươngg,3 ghé uống thân_thiện lịch_sự tư_vấn món không_gian mát_mẻ lầu chỗ không lắm view ngoài_trời giá_cả quán khuyến_mãi xài mã giảm_giá ly 29k size m uống 10 đường đá quán bình_thường không trà sữa gắt cổ chi_nhánh hồ tùng mậu đá tan uống độ trà sữa,Negative
43,Khietvy,rẻ ngon tuyệt_vời phục_vụ tận_tình quán đẹp trà sữa ngon không gắt,Positive
44,Minnie Pham,trưa kiếm chỗ nắng họp quán trà sữa tốt sugest chỗ chương_trình khuyến_mãi mua 1 tặng 1 26 12 2018 triển tiết_kiệm tiền quán xe cửa miễn_phí nha không_gian rộng_rãi thoáng mát 1 lầu nè nhiệt_tình giới_thiệu best seler uốnh ok order quầy hoàng_gia kem phô_mai uống ok kem béo béo mặn mặn lắm hoàng_gia xoài xoài xay nha trà sữa panda trà sữa hai toping trân_châu sợi trân_châu đen trà sữa vị lài trà nhật đá xay uống okie đường nha trà xanh chanh leo vitamin c kiwi chanh leo type mệt ngon chua chua_ngọt uống đường 50 ổn thích chua hen ps chi_nhánh uống ok chỗ học mốt ghé hoài nè,Positive
45,Trần Hạnh,toco chi_nhánh khai_trương góc cách_mạng 8 cắt ngô thời nhiệm học minh khai ghé quán cũ chỗ hôm_nay chở ngang quán ghé quán xinh decor sáng_sủa rộng_rãi tận_dụng không_gian hợp_lý bày bàn ghế lối rộng_rãi ánh_sáng đẹp tầng xinh trưa học_sinh trưa học chocolate kem phô_mai hoàng_gia kem phô_mai trà sữa panda trà xanh đá xay ngon hơi rùi không uống toco uống ok nè trà sữa panda vừa_vặn trà xanh đá xay ok team béo chocolate hoàng_gia kem phô_mai quán khai_trương chạy sale tranh_thủ ghé thử món,Neutral
46,Nothing Noone,thăm trường 3 ghé ly chi_nhánh pha ngon hẳn chi_nhánh hoàng_gia kem phô_mai uống siêu ngon xoài đá xay lớp cream chese chua_ngọt uống kết_hợp vị béo cream cực ok trà xanh kiwi chanh leo uống mát giải_nhiệt chua chua_ngọt choco hồng trà kem phô_mai ok cream chese ngon ah thử trân_châu thạch ngon siêu dai dai nhai không_gian không lắm gọn_gàng bàn ghế thích_hợp làm_việc học nhạc nhẹ_nhàng hôm bé minh khai lắm gửi xe fre quán,Positive
47,Quỳnh Múi,đoạn giao cmt8 ngô thời nhiệm quán không_gian 2 tầng thoáng rộng_rãi bàn ghế tầng 2 1h nha order hoàng_gia kem phô_mai 49k ngon vị chua chua_ngọt lớp kem phô_mai béo thơm hoà hợp uống nè đá tuyết xoài ngon 70 đường trà xanh kiwi chanh leo 4k món chua 10 đường nha thạch colagen nhai thích lắm uống ngon nè trà sữa panda 46k 70 đường nha đỡ toping nhai vui vui thích không_gian rộng_rãi bàn thích_hợp học nè sofa êm_ái họp_mặt 8 nè gửi xe miễn_phí cửa nha nhiệt_tình chương_trình giảm_giá kinh_tế ghé,Positive
48,ShengLee,thích trà sữa trân_châu sợi trân dâu dai ngon trà sữa vị ngon không gắt 3,Positive
49,Long,yakult xoài chất nghiện 2 ly thơm thèm mẹ,Positive
50,Phạm Tường Vy,bánh ngon giá bình_dân tội thái_độ lồi_lõm gái tóc mái ngang ngta mua k nha xấu nết sợ,Positive
51,Tulimon,giá mềm bánh ngon không bánh kem ngon,Positive
52,Già Thiên Sứ,bánh kem shiper giao bánh hộp nghiêng kiểm_tra mặt shiper shop giao nthe bánh nghiêng móp 1 bánh chữ xiêu_vẹo lỗi shiper đề_nghị shop vote 1 shiper giao bánh lỗi ko đổ lỗi shop tiền ví shope ko ko bánh,Neutral
53,Thu Anh,bánh ổn fomai mây ứng dựng ổn nha phân_vân,Positive
54,Thao Thu,bánh kem tiệm ngon kem thơm thơm nhân mứt ngon hẳn tiệm ủng_hộ tiệm,Positive
55,Uyên Nguyễn Hoàng Thảo,4 bánh thanh_toán tiền quán giao 2 quán giao shiper đơn shiper điện quân không máy,Negative
56,Trâm Nguyễn,bánh giá hương_vị bình_thường bánh kiểu tiệm ins k chất_lượng bánh chà_bông gà 40k lát bánh lan sốt vs chà_bông bánh khô sốt chà_bông bth k j bánh liên_tưởng bánh_mì chà_bông kẹp 15k bánh phô_mai tươi hộp toàn kem 1 lớp phô_mai tươi rắc xong 50k cạn_lời,Neutral
57,Mon Ny,bữa ship 2 hoa_cúc giao 1 hoa_cúc shop giao nhầm bánh_mì khoai hơi khó_chịu,Negative
58,Nga Trần,giáng_sinh thay_vì đường kẹt xe tụ_tập lành mua bánh kem đem bánh_khúc size cưng lắm tiệm bánh bình_dân ổn lớp kem socola phủ thơm hơi béo lớp bánh lan mềm mịn nè may có_nhân mứt thơm chua chua cân_bằng,Positive
59,Ngan Vo,giá tren beamin 40k ap mã 35 k nhà_tớ bánh bự mềm đặc_trưng bánh_mì hoa_cúc tốc_độ heo bánh ok cạp buồn miệng bánh k diễn_tả bánh mềm bánh_gối,Negative
60,Thanh Trang,bánh mua cửa_hàng rẻ hẵn 5 15k now nha bánh hàn_quốc siêu thích bánh aeon mal mua hơi thất_vọng bánh kh giòn èo ọp bột mix tổng_thể bánh_bò mùi mè đen_ bánh_mì hoa_cúc ngon vui mồm oke không ấn_tượng bánh milo kem mặn không thích lan lắm không bàn lớp bánh nha lớp kem béo vừa_phải mặn vừa_phải tổng_thể tạm tiền nha 25k thui,Positive
