RestaurantID,Restaurant Name,Address,Time,District,Time Open,Time Close,Lowest Price,Highest Price
1,Bún Bò Đất Thánh - Shop Online,"221/16 Đất Thánh, P. 6, Tân Bình, TP. HCM",00:00 - 23:59,Tân Bình,00:00,23:59,15000.0,50000.0
2,Bánh Mì Bảy Hổ - Phan Ngữ,"12 Phan Ngữ, P. Đa Kao, Quận 1, TP. HCM",06:00 - 20:00,Quận 1,06:00,20:00,10000.0,30000.0
3,Chân Gà Sốt Thái - Mr.Bon - Lê Bình,"100 Lê Bình, P. 4, Tân Bình, TP. HCM",06:00 - 23:00,Tân Bình,06:00,23:00,10000.0,100000.0
4,Yumi Fruit - Trái Cây Sạch & Đồ Ăn Vặt - Shop Online - Lê Thị Bạch Cát,"150/19 Lê Thị Bạch Cát, P. 11, Quận 11, TP. HCM",00:00 - 23:59,Quận 11,00:00,23:59,20000.0,100000.0
5,Sinh Tố Tao Đàn - The Sun Avenue,"The Sun Avenue, Block SAV.06 - 00.01, 28 Mai Chí Thọ, P. An Phú, Thành Phố Thủ Đức, TP. HCM",07:30 - 21:30,Thành Phố Thủ Đức,07:30,21:30,15000.0,80000.0
6,Bánh Mì Tô - Bò Kho & Xíu Mại & Lagu Gà - Hoàng Diệu,"K64 Đường Hoàng Diệu, P. 6, Quận 4, TP. HCM",07:30 - 21:15,Quận 4,07:30,21:15,20000.0,50000.0
7,Bread 24h - Hamburger & Bánh Mì - Đường 49,"Số 80 Đường 49, P. Tân Quy, Quận 7, TP. HCM",00:01 - 23:59,Quận 7,00:01,23:59,15000.0,150000.0
8,TocoToco Bubble Tea - Ngô Thời Nhiệm,"87 Ngô Thời Nhiệm, P. 6, Quận 3, TP. HCM",00:00 - 00:15 | 08:15 - 23:59,Quận 3,00:00,23:59,25000.0,65000.0
9,"Anh Cường Bakery - Bánh Kem, Bánh Mì - Nguyễn Văn Lạc","32 Nguyễn Văn Lạc, P. 19, Bình Thạnh, TP. HCM",06:00 - 23:00,Bình Thạnh,06:00,23:00,8000.0,250000.0
10,Emy - Trái Cây Tươi Và Ăn Vặt - Nguyễn Trãi,"212A/A37 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",08:00 - 23:00,Quận 1,08:00,23:00,19000.0,79000.0
